Feature,Importance
Activity_corrected_to_sampling_date,0.58088964
Parts_encoded,0.32839003
Inventory_corrected_to_sampling_date,0.27398443
Soil_profile_number,0.2408483
Inventory,0.21915194
Middle_sampling_soil_depth,0.2075268
Distance_from_FDNPP,0.17484106
Upper_sampling_soil_depth,0.16170153
MEXT_Cs137,0.15911804
Slope_aspect_encoded,0.13990824
Maximum_act,0.13865161
Maximum_inv,0.13501352
Leaf/ring_age,0.13017273
Thickness_type_litter_encoded,0.123074405
Lower_sampling_soil_depth,0.122438274
Mushroom_animal_scientific_name_encoded,0.1218769
Position_on_slope_encoded,0.11785127
Tag,0.1171235
Elevation,0.114317745
Corrected_month,0.109864615
Variance_act,0.10936272
Leaf/ring_age_encoded,0.10635623
MEXT_dose,0.104340896
Sampling_year,0.10415806
Variance_inv,0.10199494
Diameter_at_breast_height,0.10180243
Middle_sampling_height,0.10125873
Year_published,0.09971771
Mushroom_animal_name_encoded,0.09612816
Parts_animal_encoded,0.0960356
Leaf_habit_encoded,0.09434144
Mean_annual_temperature,0.093186565
Corrected_year,0.09145211
Thickness_type_litter,0.09141447
Lower_sampling_height,0.09033462
modMEXT_Cs137_by_Kato_et_al._2019,0.08974274
Elevation_NLNI,0.0887119
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,0.08831924
N_sample_act,0.086632736
Total_biomass,0.0856781
N_inv,0.08530046
Latitude_(deg),0.0835617
MEXT_Cs134,0.08237824
Sampling_month,0.08112662
Height_Elevation,0.0807346
Variance_type_inv_encoded,0.08034615
Wild_Grown_mushroom_encoded,0.08020299
Longitude_(min),0.07972745
Corrected_day,0.07877071
Minimum_act,0.07807057
Longitude_(deg),0.07747044
MEXT_Cs137_2011.3.11.corrected,0.07729996
Stand_age,0.074018605
Upper_sampling_height,0.07352262
Longitude_(sec),0.07338874
Sampling_day,0.07327908
Inventory_Soil_Tag,0.07245095
Tree_density,0.07173104
Site_name,0.06935592
Latitude_(min),0.069244124
Latitude_(sec),0.06895051
Japan_mesh_code,0.067847215
Mean_annual_precipitation,0.06774352
Tree_height,0.065241635
Minimum_inv,0.062009543
LAI,0.061152536
