Latitude_(deg),Longitude_(deg),Activity_concentration,Distance_from_FDNPP,Total_biomass,Tree_height,Elevation,Mushroom_animal_name_encoded,Variance_type_inv_encoded,Wild_Grown_mushroom_encoded,Leaf/ring_age_encoded,Slope_aspect_encoded,Position_on_slope_encoded,Thickness_type_litter_encoded,Leaf_habit_encoded,Parts_animal_encoded,Mushroom_animal_scientific_name_encoded,Parts_encoded
37.0,140.0,7.392031567514591,52.45,,22.5,370.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,4.418840607796598,52.45,,22.5,370.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,4.912654885736052,52.45,,22.5,370.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,10.368572856625317,52.45,,22.5,370.0,129,1,1,43,7,7,24,1,0,191,19
37.0,140.0,7.729295674310482,52.45,,22.5,370.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,4.290459441148391,52.45,,22.5,370.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,8.301769763117166,52.45,,22.5,370.0,129,1,1,43,7,7,58,1,0,191,18
37.0,140.0,7.816416983691801,52.45,,22.5,370.0,129,1,1,43,7,7,58,1,0,191,18
37.0,140.0,7.496097345175956,18.18,,20.2,520.0,129,1,1,43,7,7,58,1,0,191,29
37.0,140.0,6.364750756851911,18.18,,20.2,520.0,129,1,1,43,7,7,58,1,0,191,16
37.0,140.0,3.610917912644224,18.18,,20.2,520.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,2.341805806147327,18.18,,20.2,520.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,9.148571345578551,16.32,,15.4,530.0,129,1,1,43,7,7,58,0,0,191,29
37.0,140.0,5.831882477283517,16.32,,15.4,530.0,129,1,1,43,7,7,58,0,0,191,16
37.0,140.0,4.290459441148391,16.32,,15.4,530.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,2.5649493574615367,16.32,,15.4,530.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,4.844187086458591,30.25,,25.0,82.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,4.330733340286331,30.25,,25.0,82.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,6.957497370876951,30.25,,25.0,82.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,5.231108616854587,30.25,,27.0,80.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,4.477336814478207,30.25,,27.0,80.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,7.323830566202317,30.25,,27.0,80.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,6.419994928147142,17.81,,20.0,209.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,5.517452896464707,17.81,,20.0,209.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,8.39795910349254,17.81,,20.0,209.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,6.137727054086234,17.81,,20.0,209.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,5.662960480135946,17.81,,20.0,209.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,8.363109176033522,17.81,,20.0,209.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,7.1372784372603855,17.81,,19.0,204.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,6.202535517187923,17.81,,19.0,204.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,8.741136422901011,17.81,,19.0,204.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,0.0,30.25,,14.0,102.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,4.343805421853684,30.25,,14.0,102.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,7.299797366758161,30.25,,14.0,102.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,5.220355825078324,30.25,,13.0,87.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,5.560681631015528,30.25,,13.0,87.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,7.890956716138919,30.25,,13.0,87.0,129,1,1,43,7,7,58,1,0,191,1
