Feature,Importance
N_inv,3.6140895
Variance_type_inv_encoded,3.3696518
Longitude_(deg),3.218362
Distance_from_FDNPP,3.1636791
Activity_corrected_to_sampling_date,3.11903
Upper_sampling_soil_depth,3.0557725
Middle_sampling_soil_depth,3.03074
Thickness_type_litter_encoded,2.9408681
Site_name,2.9303944
Longitude_(min),2.7961905
MEXT_dose,2.7652278
Soil_profile_number,2.5914674
Elevation_NLNI,2.560677
MEXT_Cs137,2.527208
Position_on_slope_encoded,2.479872
MEXT_Cs134,2.449893
Lower_sampling_soil_depth,2.3929782
Corrected_year,2.3779123
Stand_age,2.3320932
Longitude_(sec),2.2415106
Thickness_type_litter,2.1091032
Leaf_habit_encoded,2.095439
Slope_aspect_encoded,2.0843008
Maximum_act,2.082638
Minimum_act,2.0513837
Mean_annual_precipitation,2.0083187
Mean_annual_temperature,1.9958695
modMEXT_Cs137_by_Kato_et_al._2019,1.9670942
Total_biomass,1.7998916
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,1.7712916
Latitude_(sec),1.7520405
Sampling_month,1.646202
Parts_animal_encoded,1.6196961
Inventory,1.6130761
MEXT_Cs137_2011.3.11.corrected,1.5991669
Sampling_year,1.5392174
Variance_act,1.5052294
Corrected_month,1.4862041
Minimum_inv,1.4578817
Latitude_(min),1.4531173
Inventory_corrected_to_sampling_date,1.3548265
LAI,1.3201374
Lower_sampling_height,1.3104147
Japan_mesh_code,1.2352554
Parts_encoded,1.1822612
Tag,0.99485415
Wild_Grown_mushroom_encoded,0.9133349
Upper_sampling_height,0.8963592
Sampling_day,0.86909527
Leaf/ring_age,0.7210076
Mushroom_animal_name_encoded,0.7061368
N_sample_act,0.690586
Height_Elevation,0.68800443
Mushroom_animal_scientific_name_encoded,0.6789053
Elevation,0.6166866
Diameter_at_breast_height,0.604383
Corrected_day,0.5690207
Middle_sampling_height,0.40975714
Latitude_(deg),0.35542223
Tree_density,0.32010874
Tree_height,0.28769898
Variance_inv,0.23678121
Year_published,0.2227732
Leaf/ring_age_encoded,0.1810731
Maximum_inv,0.14396991
Inventory_Soil_Tag,0.09342773
