Feature,Importance
Activity_corrected_to_sampling_date,4.039443
Variance_type_inv_encoded,3.9661064
Site_name,3.6641872
Distance_from_FDNPP,3.4067624
N_inv,3.3525155
MEXT_Cs137_2011.3.11.corrected,2.799081
Thickness_type_litter,2.7501926
Longitude_(deg),2.742317
Lower_sampling_soil_depth,2.7108293
Mean_annual_precipitation,2.6847265
MEXT_Cs137,2.6499586
Elevation_NLNI,2.6213486
modMEXT_Cs137_by_Kato_et_al._2019,2.5804403
Middle_sampling_soil_depth,2.5637643
Minimum_act,2.5416324
Thickness_type_litter_encoded,2.4423528
Longitude_(min),2.4268892
Upper_sampling_soil_depth,2.3684328
MEXT_Cs134,2.3425741
Lower_sampling_height,2.324105
Slope_aspect_encoded,2.319295
Stand_age,2.292197
MEXT_dose,2.2683897
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,2.2569306
Mean_annual_temperature,2.2244987
Sampling_month,2.20025
Position_on_slope_encoded,2.1815631
Soil_profile_number,2.1757054
Sampling_year,2.1145
Inventory_corrected_to_sampling_date,2.1074638
Maximum_act,2.0404167
Corrected_year,2.0002315
Parts_animal_encoded,1.9951247
Longitude_(sec),1.9056646
Variance_act,1.855678
Height_Elevation,1.7631013
Latitude_(min),1.7539787
Latitude_(sec),1.7287495
Total_biomass,1.6016021
LAI,1.5168092
Elevation,1.4294198
Latitude_(deg),1.3836035
Inventory,1.3409759
Wild_Grown_mushroom_encoded,1.1992106
Leaf/ring_age,1.1218017
Japan_mesh_code,0.97707915
Minimum_inv,0.9384498
Corrected_day,0.8929508
Leaf_habit_encoded,0.8670164
Tree_density,0.7623706
Leaf/ring_age_encoded,0.75052387
Mushroom_animal_name_encoded,0.74341667
Maximum_inv,0.72458774
Upper_sampling_height,0.651361
Variance_inv,0.63547033
Parts_encoded,0.63100046
Tag,0.5799383
Tree_height,0.56756234
Corrected_month,0.49017558
Diameter_at_breast_height,0.4509337
Mushroom_animal_scientific_name_encoded,0.37498546
Middle_sampling_height,0.3043202
Sampling_day,0.17473707
Year_published,0.1589009
Inventory_Soil_Tag,0.13965805
N_sample_act,0.025238045
