Feature,Importance
Activity_corrected_to_sampling_date,58.587227
Variance_act,4.441248
Lower_sampling_height,2.839858
Height_Elevation,2.30262
Elevation,2.1217864
Inventory_corrected_to_sampling_date,1.9778898
MEXT_Cs137,1.5379682
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,1.4856099
MEXT_Cs137_2011.3.11.corrected,1.4715049
Upper_sampling_height,1.4312469
MEXT_dose,1.0853413
modMEXT_Cs137_by_Kato_et_al._2019,1.058771
Tree_height,1.0057634
Minimum_inv,0.9863172
Slope_aspect_encoded,0.8595547
Maximum_act,0.7157355
Inventory,0.66704905
Mushroom_animal_name_encoded,0.5767466
Variance_type_inv_encoded,0.5585699
Variance_inv,0.48464397
Middle_sampling_soil_depth,0.47636294
Minimum_act,0.4523261
MEXT_Cs134,0.44377646
Maximum_inv,0.43252593
Lower_sampling_soil_depth,0.41155124
Diameter_at_breast_height,0.30644473
Wild_Grown_mushroom_encoded,0.28936097
N_inv,0.28434902
Sampling_year,0.28018284
Tag,0.2740372
Upper_sampling_soil_depth,0.26682976
Corrected_year,0.23262107
Mushroom_animal_scientific_name_encoded,0.23098686
Mean_annual_temperature,0.20739268
Parts_encoded,0.19965644
Elevation_NLNI,0.19208361
Distance_from_FDNPP,0.18026377
Latitude_(deg),0.17323965
Longitude_(deg),0.1724472
Thickness_type_litter_encoded,0.15137208
Soil_profile_number,0.13452403
Longitude_(min),0.13148059
Position_on_slope_encoded,0.13034508
Parts_animal_encoded,0.12460275
N_sample_act,0.11621574
Thickness_type_litter,0.099317476
Corrected_month,0.09607398
Japan_mesh_code,0.09291156
Middle_sampling_height,0.090590246
Year_published,0.0850179
Corrected_day,0.073015
Leaf_habit_encoded,0.07300662
Latitude_(min),0.06669058
Sampling_month,0.06617419
Total_biomass,0.06488071
Leaf/ring_age,0.061633993
Leaf/ring_age_encoded,0.055409417
Mean_annual_precipitation,0.049644932
Stand_age,0.048754837
Site_name,0.046568044
Sampling_day,0.042194106
Longitude_(sec),0.04087199
Tree_density,0.04063966
Latitude_(sec),0.038072344
Inventory_Soil_Tag,0.025253203
LAI,0.020547764
