Feature,Importance
Parts_encoded,0.4144798
Activity_corrected_to_sampling_date,0.29353753
Wild_Grown_mushroom_encoded,0.24007426
Upper_sampling_soil_depth,0.21317706
Mushroom_animal_name_encoded,0.21218239
Variance_type_inv_encoded,0.19172148
Mushroom_animal_scientific_name_encoded,0.17493661
Inventory,0.16326268
MEXT_Cs137_2011.3.11.corrected,0.16224632
modMEXT_Cs137_by_Kato_et_al._2019,0.15945967
MEXT_dose,0.15735187
Corrected_day,0.15727326
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,0.13515982
Inventory_corrected_to_sampling_date,0.1329867
Longitude_(min),0.12736852
Soil_profile_number,0.12369516
Longitude_(deg),0.12356972
Middle_sampling_soil_depth,0.11468106
N_inv,0.11113972
Latitude_(min),0.109572105
Height_Elevation,0.10869928
MEXT_Cs134,0.10837669
MEXT_Cs137,0.102328174
N_sample_act,0.098399885
Mean_annual_temperature,0.0956284
Leaf_habit_encoded,0.08983857
Lower_sampling_soil_depth,0.08956718
Distance_from_FDNPP,0.088983156
Elevation,0.0886764
Variance_inv,0.087344974
Corrected_year,0.085398026
Sampling_year,0.08483945
Thickness_type_litter_encoded,0.08429337
Leaf/ring_age_encoded,0.08394756
Tree_height,0.08346913
Site_name,0.08201659
Sampling_month,0.08123835
Corrected_month,0.08058736
Leaf/ring_age,0.07991986
Year_published,0.07748588
Latitude_(deg),0.076767035
Maximum_inv,0.07649392
Variance_act,0.076039
Japan_mesh_code,0.074476846
Sampling_day,0.07431498
Minimum_inv,0.07292762
Minimum_act,0.071694836
Elevation_NLNI,0.071067885
Latitude_(sec),0.07097736
Longitude_(sec),0.06958878
Mean_annual_precipitation,0.06933915
Tag,0.068020254
Stand_age,0.06710201
Position_on_slope_encoded,0.0657843
Lower_sampling_height,0.06461926
Tree_density,0.06402814
Diameter_at_breast_height,0.0629827
Thickness_type_litter,0.06286854
Total_biomass,0.062302303
Inventory_Soil_Tag,0.062042765
Slope_aspect_encoded,0.059422586
Upper_sampling_height,0.05918529
Parts_animal_encoded,0.059029173
Maximum_act,0.05884875
Middle_sampling_height,0.055550475
LAI,0.051474437
