Feature,Importance
Activity_corrected_to_sampling_date,0.9054732151456182
Mushroom_animal_name_encoded,0.02302149014838661
Sampling_day,0.020432108201094246
Corrected_day,0.019263332904083063
Mushroom_animal_scientific_name_encoded,0.009853957100570687
Sampling_month,0.004302662179717894
Corrected_month,0.003909474336102591
Year_published,0.0037168136993342596
Corrected_year,0.0032167399025282224
Sampling_year,0.003022244157701682
Wild_Grown_mushroom_encoded,0.0027112448983166834
Parts_encoded,0.0007404261320034088
Japan_mesh_code,3.054924539702198e-05
Latitude_(min),2.6493986956814833e-05
MEXT_Cs134,2.6283438326806586e-05
MEXT_Cs137_2011.3.11.corrected,2.4858295861089396e-05
MEXT_dose,2.456859969530545e-05
Longitude_(min),2.4171665398731126e-05
Mean_annual_temperature,2.3690479289627675e-05
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,2.2473638793563655e-05
Elevation_NLNI,1.9304427189073263e-05
MEXT_Cs137,1.8621244100559695e-05
modMEXT_Cs137_by_Kato_et_al._2019,1.8151008479701807e-05
Mean_annual_precipitation,1.7900508535848324e-05
Distance_from_FDNPP,1.7244726310711162e-05
Diameter_at_breast_height,1.2335034788528444e-05
Longitude_(sec),8.619913978454059e-06
Variance_act,7.892680869127507e-06
Latitude_(sec),7.874238885117833e-06
Site_name,8.451705499468562e-07
Soil_profile_number,7.394145340696043e-07
Inventory,5.321956058623634e-07
N_sample_act,4.111662646388414e-07
Inventory_corrected_to_sampling_date,3.946685210525355e-07
Variance_inv,3.122183926992587e-07
Leaf/ring_age_encoded,2.1307944549875952e-07
Height_Elevation,2.0227654812024298e-07
Elevation,1.9878992325579978e-07
Leaf_habit_encoded,1.838769839892555e-07
Stand_age,1.6807842993700386e-07
Leaf/ring_age,1.3871759923282277e-07
Tree_height,1.245808380773662e-07
LAI,1.1882203363035762e-07
Upper_sampling_soil_depth,9.39734799471569e-08
Latitude_(deg),9.278238913477844e-08
Lower_sampling_soil_depth,9.121606758192198e-08
Middle_sampling_soil_depth,8.856471555622227e-08
Position_on_slope_encoded,7.868069939266283e-08
Middle_sampling_height,7.099597125848204e-08
Tree_density,4.163168258337221e-08
Variance_type_inv_encoded,4.0059022550371525e-08
N_inv,2.1995872269602877e-08
Tag,2.0705783449284507e-08
Longitude_(deg),1.2697079436747131e-08
Thickness_type_litter_encoded,7.677137319711859e-09
Slope_aspect_encoded,5.104078091158189e-09
Minimum_inv,2.601800554103074e-09
Total_biomass,2.3785002391722944e-09
Upper_sampling_height,1.3663459989078448e-09
Lower_sampling_height,8.199053014687835e-10
Maximum_act,5.889491595861639e-10
Minimum_act,5.109953281876523e-10
Thickness_type_litter,3.560561063212843e-10
Inventory_Soil_Tag,1.704667167954226e-10
Parts_animal_encoded,1.1972192188151122e-10
Maximum_inv,9.29626991637501e-12
Related_references,0.0
Item,0.0
Municipality,0.0
Position_on_slope,0.0
Sprout,0.0
Leaf_habit,0.0
Parts,0.0
Mushroom_animal_name,0.0
Tree_scientific_name_sample,0.0
FFPRI_code,0.0
Tree_scientific_name_stand,0.0
Flag_duplication,0.0
Tree_name_sample,0.0
Leaf_shape,0.0
Variance_type_inv,0.0
Version_of_MEXT_Cs,0.0
Wild_Grown_mushroom,0.0
Version_of_modMEXT,0.0
Ecological_type_mushroom,0.0
Flag_for_values,0.0
Version_of_MEXT_dose,0.0
Japan_soil_type,0.0
Mushroom_animal_scientific_name,0.0
Forest_type,0.0
Tree_name_stand,0.0
First_author,0.0
Slope_aspect,0.0
Prefecture,0.0
Sampling_date_estimated,0.0
Fresh_weight_basis,0.0
FAO_soil_type,0.0
Corrected_date_estimated,0.0
Other_tree_composition_stand,0.0
Flag_for_LatLon_coordinate,0.0
Source_number,0.0
Detector,0.0
Source_type,0.0
Parts_animal,0.0
Variance_type_act,0.0
