Feature,Importance
Activity_corrected_to_sampling_date,0.9054718689523051
Mushroom_animal_name_encoded,0.023304780232045044
Sampling_day,0.02044446412320171
Corrected_day,0.019338301754442
Mushroom_animal_scientific_name_encoded,0.009832769215594128
Sampling_month,0.004372340459297778
Corrected_month,0.0037931607232744437
Year_published,0.003614316139378293
Corrected_year,0.0032779444106471197
Sampling_year,0.002996883921430818
Wild_Grown_mushroom_encoded,0.002738462220823141
Parts_encoded,0.0004822261831284606
MEXT_Cs137_2011.3.11.corrected,5.164956953469703e-05
MEXT_Cs134,3.887095285921439e-05
modMEXT_Cs137_by_Kato_et_al._2019,3.353829952978578e-05
Longitude_(min),2.8564591385909606e-05
Mean_annual_precipitation,2.84718681145682e-05
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,2.1038215573151334e-05
Longitude_(sec),1.927578888817762e-05
MEXT_dose,1.6113185929795794e-05
Diameter_at_breast_height,1.2498953584327046e-05
Japan_mesh_code,1.2206117246862643e-05
Latitude_(min),1.1669236977118892e-05
MEXT_Cs137,1.0508124612787415e-05
Distance_from_FDNPP,1.0277769328679699e-05
Mean_annual_temperature,9.235716414715931e-06
Latitude_(sec),8.090536555618177e-06
Variance_act,7.716704840720906e-06
Elevation_NLNI,7.308847687820473e-06
Soil_profile_number,8.240672193650998e-07
Leaf_habit_encoded,6.259695395945585e-07
Site_name,5.970305445593771e-07
Inventory,4.779644455022107e-07
N_sample_act,4.6257557225520873e-07
Inventory_corrected_to_sampling_date,3.3485207213951714e-07
Variance_inv,2.6085318348584117e-07
Elevation,2.0076206254558117e-07
Leaf/ring_age_encoded,2.0062881220526652e-07
Height_Elevation,1.9289098765897076e-07
Stand_age,1.765779580304557e-07
Leaf/ring_age,1.5979235464636647e-07
Tree_height,1.418604251903224e-07
Lower_sampling_soil_depth,9.860428939392434e-08
Middle_sampling_soil_depth,9.656495762946566e-08
Upper_sampling_soil_depth,9.351383520561535e-08
LAI,8.72129306841274e-08
Tag,7.803284793975708e-08
Position_on_slope_encoded,7.741631583617441e-08
Middle_sampling_height,7.205444023667522e-08
Tree_density,4.314758987586921e-08
Variance_type_inv_encoded,4.195465579726154e-08
Latitude_(deg),3.467598357153568e-08
Longitude_(deg),2.886086491955828e-08
N_inv,1.9036180367184065e-08
Thickness_type_litter_encoded,7.86904919348097e-09
Slope_aspect_encoded,4.288527836352685e-09
Total_biomass,2.461670109731315e-09
Minimum_inv,1.4496819422601276e-09
Lower_sampling_height,1.0140391001395607e-09
Maximum_act,9.557378409570634e-10
Upper_sampling_height,8.768978528576924e-10
Minimum_act,5.93190738042162e-10
Thickness_type_litter,3.0231025833647494e-10
Maximum_inv,2.597250487923967e-10
Inventory_Soil_Tag,1.1291860804417632e-10
Parts_animal_encoded,1.0155085567057611e-10
